mes,lote,cod_distrito,distrito,año,waste_type,amount,category
MAYO,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,6,12,USERA,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,1.6,recyclable
JUNIO,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,7.3,recyclable
JUNIO,2,3,RETIRO,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,8.68,recyclable
JUNIO,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,4.14,recyclable
JUNIO,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,12.58,recyclable
JUNIO,3,10,LATINA,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,6,12,USERA,2022,orgánica_hojas_y_ramas,0.0,recyclable
JUNIO,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,0.0,recyclable
