MES;LOTE;COD_DISTRITO;DISTRITO;MUEBLES 010    ;MUEBLES RECOG. PROGRAMADA ;MUEBLES RECOG. EN CALLE             ;Kg Recogida de muebles;RESTO            ;ORGÁNICA   (HOJAS Y RAMAS)                 ;ENVASES         ;PAPEL Y CARTÓN;VARIOS/RCDs CÓD DESTINO: VERLD;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mantenimiento;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Baldeo Mixto;Nº Servicios Hidrolimpiador (Manchas);Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
SEPTIEMBRE;6;17;VILLAVERDE;9.907;8.211;207.312;225.430;157.753;0;99;18.070;25.265;201.187;1.145;360;56;82;0;447;24;175;3.585;420.000
OCTUBRE;1;1;CENTRO ;;;;;;;;;;;;;;;;;;;;
OCTUBRE;1;6;TETUÁN;;;;;;;;;;;;;;;;;;;;
OCTUBRE;1;7;CHAMBERÍ;;;;;;;;;;;;;;;;;;;;
OCTUBRE;2;2;ARGANZUELA;;;;;;;;;;;;;;;;;;;;
OCTUBRE;2;3;RETIRO;;;;;;;;;;;;;;;;;;;;
OCTUBRE;2;4;SALAMANCA;;;;;;;;;;;;;;;;;;;;
OCTUBRE;2;5;CHAMARTÍN;;;;;;;;;;;;;;;;;;;;
OCTUBRE;3;8;FUENCARRAL;;;;;;;;;;;;;;;;;;;;
OCTUBRE;3;9;MONCLOA;;;;;;;;;;;;;;;;;;;;
OCTUBRE;3;10;LATINA;;;;;;;;;;;;;;;;;;;;
OCTUBRE;4;15;CIUDAD LINEAL;;;;;;;;;;;;;;;;;;;;
OCTUBRE;4;16;HORTALEZA;;;;;;;;;;;;;;;;;;;;
OCTUBRE;4;20;SAN BLAS;;;;;;;;;;;;;;;;;;;;
OCTUBRE;4;21;BARAJAS;;;;;;;;;;;;;;;;;;;;
OCTUBRE;5;13;PUENTE DE VALLECAS ;;;;;;;;;;;;;;;;;;;;
OCTUBRE;5;18;VILLA DE VALLECAS ;;;;;;;;;;;;;;;;;;;;
OCTUBRE;5;14;MORATALAZ;;;;;;;;;;;;;;;;;;;;
OCTUBRE;5;19;VICÁLVARO;;;;;;;;;;;;;;;;;;;;
OCTUBRE;6;11;CARABANCHEL;;;;;;;;;;;;;;;;;;;;
OCTUBRE;6;12;USERA;;;;;;;;;;;;;;;;;;;;
OCTUBRE;6;17;VILLAVERDE;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;1;1;CENTRO ;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;1;6;TETUÁN;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;1;7;CHAMBERÍ;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;2;2;ARGANZUELA;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;2;3;RETIRO;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;2;4;SALAMANCA;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;2;5;CHAMARTÍN;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;3;8;FUENCARRAL;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;3;9;MONCLOA;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;3;10;LATINA;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;4;15;CIUDAD LINEAL;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;4;16;HORTALEZA;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;4;20;SAN BLAS;;;;;;;;;;;;;;;;;;;;
