mes,lote,cod_distrito,distrito,muebles_010,muebles_recog._programada,muebles_recog._en_calle,total_kg_recogida_de_muebles,residuos_varios_viapublica_resto,orgánica_hojas_y_ramas,envases,papel_y_cartón,varios_residuos_de_construcción_y_demolición,kg_recogida_residuos_viarios,nº_servicios_barrido_manual,nº_servicios_barrido_mantenimiento,nº_servicios_barrido_mecánico,nº_servicios_barrido_mixto,nº_servicios_baldeo_mecánico,nº_servicios_baldeo_mixto,nº_servicios_hidrolimpiador_manchas,nº_servicios_eliminación_grafitis,m2_eliminación_grafitis,ud_reposición_bolsas_caninas,año,mes_año
MAYO,1,7,CHAMBERÍ,18.222,3.5,1.858,23.58,920.0,0.0,300.0,4.3,437.08,442.6,501.0,270.0,63.0,136.0,0.0,418.0,41.0,56.0,129.0,396.2,2022,MAYO_2022
MAYO,2,2,ARGANZUELA,22.08,17.3,4.96,44.34,331.94,0.0,0.0,5.16,0.0,337.1,559.0,311.0,13.0,81.0,0.0,269.0,36.0,65.0,91.0,364.0,2022,MAYO_2022
MAYO,2,3,RETIRO,7.5,3.75,1.25,12.5,312.87,0.0,0.0,1.38,0.0,314.25,443.0,327.0,50.0,31.0,0.0,277.0,35.0,36.0,116.0,332.3,2022,MAYO_2022
MAYO,2,4,SALAMANCA,17.29,26.25,5.7,49.24,583.42,7.46,1.28,3.72,0.0,595.88,755.0,523.0,5.0,66.0,0.0,325.0,50.0,42.0,408.0,394.9,2022,MAYO_2022
MAYO,2,5,CHAMARTÍN,7.78,5.96,2.66,16.4,318.88,0.0,0.0,0.0,0.0,318.88,799.0,465.0,0.0,117.0,0.0,446.0,79.0,60.0,391.0,415.2,2022,MAYO_2022
MAYO,3,8,FUENCARRAL,30.14,15.72,16.48,62.34,26.96,25.16,560.0,26.8,356.14,435.62,1.507,146.0,108.0,96.0,0.0,559.0,62.0,65.0,195.0,356.1,2022,MAYO_2022
MAYO,3,9,MONCLOA,42.52,10.08,5.48,58.08,34.62,20.12,500.0,15.9,157.72,228.86,1.175,178.0,105.0,75.0,0.0,554.0,62.0,39.0,81.0,252.0,2022,MAYO_2022
MAYO,3,10,LATINA,42.86,25.36,21.82,90.04,39.36,10.56,2.2,12.84,345.24,410.2,1.236,150.0,58.0,79.0,0.0,432.0,62.0,43.0,142.0,366.2,2022,MAYO_2022
MAYO,4,15,CIUDAD LINEAL,31.757,25.361,55.195,112.313,193.859,0.0,40.0,28.642,90.886,313.427,1.122,514.0,20.0,80.0,0.0,563.0,64.0,65.0,209.0,530.4,2022,MAYO_2022
MAYO,4,16,HORTALEZA,46.312,36.985,80.493,163.79,260.964,0.0,70.0,38.556,122.346,421.936,1.775,181.0,97.0,121.0,0.0,541.0,60.0,6.0,18.0,487.0,2022,MAYO_2022
MAYO,4,20,SAN BLAS,34.403,27.474,59.795,121.672,178.946,0.0,60.0,26.438,83.894,289.338,1.234,372.0,31.0,100.0,0.0,499.0,39.0,2.0,10.0,482.8,2022,MAYO_2022
MAYO,4,21,BARAJAS,19.848,15.851,34.497,70.196,111.842,0.0,50.0,16.524,52.434,180.85,617.0,109.0,10.0,40.0,0.0,195.0,20.0,4.0,22.0,414.0,2022,MAYO_2022
